# Main Simulation (Up to date)
# 968 data points written for 6 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Lateral velocity (m/s),Lateral acceleration (m/s²)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
45.931,2422.1,-15.048,0.010441,1.9263,0.043966
46.431,2414.6,-15.043,0.011215,1.9105,0.031735
46.931,2407.1,-15.037,0.011579,1.9312,0.041438
47.431,2399.6,-15.03,0.014068,2.0413,0.22027
47.931,2392.1,-15.025,0.0099948,2.0361,0.010517
48.431,2384.6,-15.019,0.01132,2.071,0.069817
48.931,2377,-15.013,0.011807,2.1222,0.10245
49.431,2369.5,-15.008,0.011122,2.1152,0.013983
49.931,2362,-15,0.016142,1.9618,0.30681
50.431,2354.5,-14.995,0.0083825,1.9636,0.0035494
50.931,2347,-14.99,0.011637,1.8857,0.15568
51.431,2339.6,-14.984,0.010675,1.8437,0.084138
51.931,2332.1,-14.979,0.01131,1.7952,0.096921
52.431,2324.6,-14.973,0.011546,1.7397,0.11101
52.931,2317.1,-14.967,0.011209,1.6973,0.084714
53.431,2309.6,-14.961,0.011698,1.7554,0.11611
53.931,2302.1,-14.956,0.010877,1.7343,0.042216
54.431,2294.6,-14.95,0.011737,1.7885,0.10852
54.931,2287.2,-14.945,0.010905,1.7739,0.029188
55.431,2279.7,-14.937,0.015819,1.9244,0.30096
55.931,2272.2,-14.932,0.0090893,1.8576,0.13372
56.431,2264.8,-14.927,0.0096522,1.8664,0.017745
56.931,2257.3,-14.921,0.012029,1.9464,0.16002
57.431,2249.9,-14.916,0.010187,1.9486,0.0043031
57.931,2242.4,-14.911,0.011035,1.9765,0.05589
58.431,2234.9,-14.905,0.011701,2.0351,0.11716
58.931,2227.5,-14.899,0.011939,1.9545,0.16128
59.431,2220,-14.893,0.011144,2.0244,0.13978
59.931,2212.6,-14.888,0.010495,2.066,0.083304
60.431,2205.2,-14.882,0.011659,1.991,0.15002
60.931,2197.7,-14.877,0.010725,1.9375,0.10713
61.431,2190.3,-14.872,0.010516,1.9619,0.048829
61.931,2182.8,-14.866,0.01075,1.9665,0.0093382
62.431,2175.4,-14.859,0.014236,2.0928,0.25261
62.931,2168,-14.855,0.0091611,2.0514,0.082919
63.431,2160.6,-14.85,0.010151,2.0748,0.046894
63.931,2153.1,-14.844,0.010795,2.0411,0.067465
64.431,2145.7,-14.839,0.010677,2.0412,1.1563e-4
64.931,2138.3,-14.833,0.010877,2.0281,0.026031
65.431,2130.9,-14.828,0.011193,1.9875,0.081311
65.931,2123.5,-14.822,0.010761,2.0077,0.040448
66.431,2116.1,-14.817,0.011316,2.0595,0.10359
66.931,2108.7,-14.811,0.010482,2.046,0.026968
67.431,2101.2,-14.806,0.011151,2.093,0.093937
67.931,2093.8,-14.801,0.010474,2.0861,0.013767
68.431,2086.4,-14.795,0.010686,2.0909,0.0095459
68.931,2079,-14.79,0.011412,2.0326,0.1166
69.431,2071.7,-14.784,0.010343,2.0462,0.027174
69.931,2064.3,-14.778,0.012288,1.9533,0.18574
70.431,2056.9,-14.773,0.010049,2.0037,0.10077
70.931,2049.5,-14.768,0.009975,1.9912,0.024867
71.431,2042.1,-14.763,0.010427,1.9985,0.014485
71.931,2034.7,-14.758,0.010675,1.9748,0.047435
72.431,2027.4,-14.752,0.010544,1.9744,6.4235e-4
72.931,2020,-14.745,0.014144,2.1054,0.26188
73.431,2012.6,-14.741,0.0089587,2.046,0.11883
73.931,2005.2,-14.736,0.0094935,2.0169,0.058141
74.431,1997.9,-14.729,0.013936,2.1542,0.27451
74.931,1990.5,-14.725,0.008009,2.1724,0.036507
75.431,1983.1,-14.72,0.010187,2.1964,0.04799
75.931,1975.8,-14.715,0.010731,2.1903,0.012132
76.431,1968.4,-14.709,0.011046,2.1764,0.027913
76.931,1961.1,-14.704,0.0111,2.1639,0.024878
77.431,1953.7,-14.698,0.011109,2.1738,0.01975
77.931,1946.4,-14.692,0.011322,2.1385,0.07072
78.431,1939,-14.687,0.010926,2.1452,0.013476
78.931,1931.7,-14.681,0.011159,2.1166,0.057119
79.431,1924.4,-14.676,0.011208,2.1534,0.073432
79.931,1917,-14.67,0.011244,2.1056,0.095502
80.431,1909.7,-14.665,0.010628,2.1079,0.0045365
80.931,1902.4,-14.659,0.011366,2.0571,0.10159
81.431,1895,-14.654,0.010613,2.0691,0.024026
81.931,1887.7,-14.648,0.011737,2.136,0.13387
82.431,1880.4,-14.643,0.01044,2.1051,0.061846
82.931,1873.1,-14.637,0.010605,2.0889,0.032452
83.431,1865.7,-14.632,0.011545,2.025,0.12777
83.931,1858.4,-14.626,0.011054,2.0862,0.12236
84.431,1851.1,-14.621,0.01019,2.0678,0.036737
84.931,1843.8,-14.614,0.013546,1.9456,0.24446
85.431,1836.5,-14.61,0.0087227,1.9581,0.024969
85.931,1829.2,-14.603,0.013197,2.081,0.24598
86.431,1821.9,-14.598,0.0097847,2.1612,0.1603
86.931,1814.6,-14.594,0.009492,2.2046,0.08679
87.431,1807.3,-14.588,0.011191,2.1247,0.1598
87.931,1800,-14.583,0.010034,2.0765,0.096452
88.431,1792.7,-14.577,0.012264,1.9703,0.21234
88.931,1785.4,-14.572,0.010052,1.8946,0.15134
89.431,1778.1,-14.567,0.010147,1.8291,0.13096
89.931,1770.9,-14.562,0.010148,1.7767,0.10486
90.431,1763.6,-14.557,0.010154,1.8107,0.067952
90.931,1756.3,-14.551,0.010691,1.8589,0.09647
91.431,1749,-14.546,0.010174,1.8745,0.031094
91.931,1741.8,-14.54,0.012697,1.9803,0.21174
92.431,1734.5,-14.535,0.0095359,2.0343,0.10794
92.931,1727.2,-14.53,0.00992,2.0741,0.079604
93.431,1720,-14.525,0.010213,2.0386,0.070946
93.931,1712.7,-14.52,0.010731,1.9838,0.10971
94.431,1705.4,-14.514,0.010689,1.9223,0.12287
94.931,1698.2,-14.509,0.010647,1.9873,0.12996
95.431,1690.9,-14.504,0.0099866,2.0293,0.08397
95.931,1683.7,-14.499,0.010853,2.097,0.1354
96.431,1676.4,-14.494,0.0097235,2.1228,0.051519
96.931,1669.2,-14.488,0.010548,2.1732,0.10081
97.431,1661.9,-14.483,0.011141,2.0935,0.15934
97.931,1654.7,-14.477,0.011508,1.9888,0.20938
98.431,1647.5,-14.473,0.008732,1.9529,0.071882
98.931,1640.2,-14.468,0.0096864,1.9799,0.053983
99.431,1633,-14.463,0.0101,2.0084,0.057025
99.931,1625.8,-14.458,0.010476,1.9606,0.095544
100.43,1618.5,-14.453,0.0098651,1.9665,0.011851
100.93,1611.3,-14.448,0.0101,1.9721,0.011085
101.43,1604.1,-14.442,0.010464,1.9324,0.079448
101.93,1596.9,-14.436,0.01215,1.8278,0.2092
102.43,1589.7,-14.432,0.0092204,1.8823,0.10908
102.93,1582.4,-14.427,0.0097554,1.8303,0.10392
103.43,1575.2,-14.422,0.00995,1.7807,0.09918
103.93,1568,-14.417,0.0096332,1.7617,0.038181
104.43,1560.8,-14.412,0.010018,1.7874,0.051563
104.93,1553.6,-14.407,0.010019,1.8095,0.044112
105.43,1546.4,-14.401,0.012384,1.9181,0.21718
105.93,1539.2,-14.397,0.0084699,1.8933,0.049554
106.43,1532,-14.391,0.012071,1.778,0.23055
106.93,1524.8,-14.386,0.0094433,1.8618,0.16757
107.43,1517.6,-14.382,0.0085125,1.8885,0.053469
107.93,1510.4,-14.377,0.0095999,1.9227,0.068234
108.43,1503.2,-14.372,0.010692,1.9952,0.14501
108.93,1496.1,-14.367,0.0093638,1.9571,0.076054
109.43,1488.9,-14.362,0.010362,2.0137,0.11302
109.93,1481.7,-14.356,0.011965,2.1156,0.20381
110.43,1474.5,-14.351,0.0090012,2.0853,0.060576
110.93,1467.4,-14.346,0.010488,2.0278,0.1149
111.43,1460.2,-14.339,0.013148,2.1547,0.25381
111.93,1453,-14.335,0.0080203,2.1664,0.02333
112.43,1445.8,-14.33,0.010968,2.0847,0.16341
112.93,1438.7,-14.324,0.011102,1.9884,0.19262
113.43,1431.5,-14.32,0.0088501,1.9651,0.046558
113.93,1424.4,-14.315,0.0098422,1.9805,0.030817
114.43,1417.2,-14.31,0.010249,1.9567,0.047641
114.93,1410.1,-14.305,0.010234,1.9686,0.023768
115.43,1402.9,-14.3,0.010264,1.9714,0.00569
115.93,1395.8,-14.294,0.011705,2.0538,0.16485
116.43,1388.6,-14.288,0.011195,2.1487,0.1897
116.93,1381.5,-14.284,0.008821,2.1724,0.047342
117.43,1374.3,-14.278,0.010886,2.0945,0.15569
117.93,1367.2,-14.274,0.0092415,2.0826,0.023852
118.43,1360,-14.269,0.010191,2.1207,0.076255
118.93,1352.9,-14.263,0.011294,2.0367,0.16795
119.43,1345.8,-14.258,0.0092523,2.0626,0.05167
119.93,1338.7,-14.253,0.0097327,2.065,0.0047816
120.43,1331.5,-14.248,0.010016,2.0585,0.012955
120.93,1324.4,-14.243,0.011383,1.9777,0.1616
121.43,1317.3,-14.238,0.0093721,1.9469,0.061551
121.93,1310.2,-14.233,0.01005,1.9032,0.087362
122.43,1303.1,-14.228,0.010283,1.8481,0.11021
122.93,1295.9,-14.223,0.0095574,1.833,0.030329
123.43,1288.8,-14.218,0.010598,1.893,0.11997
123.93,1281.7,-14.212,0.010963,1.9782,0.17058
124.43,1274.6,-14.208,0.0094844,2.0356,0.11467
124.93,1267.5,-14.203,0.0093451,2.003,0.065142
125.43,1260.4,-14.197,0.010776,1.925,0.15607
125.93,1253.3,-14.192,0.010135,1.8488,0.15235
126.43,1246.2,-14.188,0.0088547,1.8598,0.021994
126.93,1239.1,-14.183,0.0096001,1.8735,0.027505
127.43,1232,-14.178,0.010713,1.9409,0.13479
127.93,1225,-14.173,0.0096202,1.8942,0.093462
128.43,1217.9,-14.168,0.0097744,1.9389,0.089284
128.93,1210.8,-14.163,0.010783,2.0202,0.16261
129.43,1203.7,-14.158,0.010152,2.1021,0.16385
129.93,1196.6,-14.153,0.0085248,2.0997,0.0048678
130.43,1189.6,-14.148,0.0098699,2.1467,0.094092
130.93,1182.5,-14.144,0.0093993,2.1627,0.032011
131.43,1175.4,-14.138,0.010874,2.0825,0.16037
131.93,1168.3,-14.134,0.0093322,2.0304,0.10426
132.43,1161.3,-14.129,0.0090986,2.016,0.028682
132.93,1154.2,-14.123,0.012446,2.1357,0.23926
133.43,1147.2,-14.119,0.0085619,2.2039,0.1364
133.93,1140.1,-14.113,0.010946,2.0905,0.22665
134.43,1133,-14.107,0.011398,1.9507,0.27977
134.93,1126,-14.104,0.0070921,2.0151,0.1289
135.43,1118.9,-14.1,0.0082046,1.9815,0.067172
135.93,1111.9,-14.095,0.0091586,1.9493,0.064527
136.43,1104.8,-14.091,0.0093117,1.9318,0.034906
136.93,1097.8,-14.085,0.010531,2.0041,0.14453
137.43,1090.8,-14.081,0.0089379,1.9748,0.058651
137.93,1083.7,-14.076,0.0092307,1.96,0.029587
138.43,1076.7,-14.071,0.011229,1.8643,0.19132
138.93,1069.6,-14.066,0.0090186,1.7997,0.12926
139.43,1062.6,-14.062,0.0089155,1.7544,0.090528
139.93,1055.6,-14.057,0.0090595,1.7813,0.053843
140.43,1048.6,-14.051,0.011438,1.8854,0.20825
140.93,1041.5,-14.047,0.0083783,1.832,0.10695
141.43,1034.5,-14.043,0.0086736,1.8057,0.052532
141.93,1027.5,-14.038,0.0091284,1.8234,0.035446
142.43,1020.5,-14.033,0.010767,1.9087,0.17061
142.93,1013.5,-14.029,0.0082989,1.9052,0.0071397
143.43,1006.4,-14.024,0.0091457,1.9265,0.042644
143.93,999.43,-14.02,0.0092347,1.9398,0.026537
144.43,992.42,-14.015,0.0096711,1.9814,0.083281
144.93,985.42,-14.01,0.010418,1.9125,0.13788
145.43,978.41,-14.005,0.0091449,1.8961,0.032763
145.93,971.41,-14,0.0099409,1.9358,0.079477
146.43,964.41,-13.995,0.010223,1.9923,0.11299
146.93,957.42,-13.99,0.010111,2.0549,0.12509
147.43,950.42,-13.985,0.0095552,2.1014,0.093101
147.93,943.43,-13.978,0.013307,1.9599,0.28295
148.43,936.44,-13.975,0.0075005,1.9002,0.11954
148.93,929.46,-13.97,0.00853,1.9267,0.053116
149.43,922.47,-13.966,0.0093722,1.9514,0.04943
149.93,915.49,-13.96,0.010797,2.0303,0.15775
150.43,908.51,-13.956,0.0092251,2.0775,0.094307
150.93,901.54,-13.95,0.011742,2.1905,0.226
151.43,894.56,-13.946,0.0079845,2.1502,0.080548
151.93,887.59,-13.941,0.0094777,2.0937,0.11296
152.43,880.62,-13.935,0.011288,1.9861,0.21525
152.93,873.66,-13.931,0.008033,2.0197,0.067167
153.43,866.69,-13.927,0.008912,2.0204,0.0015644
153.93,859.73,-13.921,0.011064,1.9292,0.18241
154.43,852.77,-13.917,0.0086564,1.9671,0.075696
154.93,845.81,-13.912,0.0099198,1.8991,0.13607
155.43,838.86,-13.908,0.0090351,1.8598,0.07845
155.93,831.91,-13.902,0.011178,1.7577,0.20432
156.43,824.96,-13.898,0.0080675,1.7288,0.057841
156.93,818.01,-13.893,0.0090454,1.7528,0.048106
157.43,811.06,-13.889,0.0095549,1.7914,0.077223
157.93,804.12,-13.884,0.0098339,1.7342,0.11448
158.43,797.18,-13.879,0.010436,1.8196,0.17092
158.93,790.24,-13.871,0.014472,1.9938,0.34838
159.43,783.31,-13.869,0.0047556,2.0116,0.035586
159.93,776.37,-13.865,0.0087469,2.0723,0.12133
160.43,769.44,-13.86,0.0085189,2.0517,0.041155
160.93,762.51,-13.856,0.0093332,2.0133,0.07679
161.43,755.59,-13.851,0.0090638,2.0132,1.6492e-4
161.93,748.66,-13.846,0.009753,2.0612,0.09595
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=161.93 seconds
162.43,741.74,-13.842,0.0089788,2.0562,0.0099994
162.46,741.35,-13.342,17.43,2.0531,0.1086
162.49,740.93,-12.842,15.5,2.0478,0.1654
162.53,740.47,-12.342,13.641,2.0427,0.13931
162.57,739.95,-11.842,11.853,2.0391,0.085017
162.62,739.38,-11.342,10.136,2.0386,0.0091985
162.68,738.73,-10.842,8.4895,2.0377,0.014661
162.75,737.96,-10.342,6.9145,2.0412,0.047258
162.84,737.03,-9.8421,5.4113,2.0556,0.15589
162.97,735.83,-9.3422,3.9785,2.0691,0.10797
163.16,734.1,-8.8437,2.6183,2.1075,0.20157
163.54,730.86,-8.3438,1.3298,2.1144,0.018457
164.04,726.71,-8.288,0.11144,2.1465,0.064095
164.54,722.56,-8.296,-0.01585,2.0844,0.1241
165.04,718.41,-8.293,0.0060147,2.0914,0.013895
165.54,714.27,-8.2901,0.0057708,1.971,0.24083
166.04,710.12,-8.2896,8.7819e-4,1.9026,0.13671
166.54,705.98,-8.2877,0.0038136,1.8323,0.14057
167.04,701.83,-8.2866,0.0022648,1.8189,0.026817
167.54,697.69,-8.2837,0.0058737,1.9268,0.21575
168.04,693.55,-8.2825,0.0023376,2.022,0.19042
168.54,689.41,-8.2808,0.0032849,2.1115,0.179
169.04,685.27,-8.2751,0.011565,1.8906,0.44181
169.54,681.13,-8.2755,-9.2244e-4,2.0779,0.37465
170.04,677,-8.2733,0.0043877,2.2691,0.38235
170.54,672.86,-8.2734,-1.3405e-4,2.1245,0.28925
171.04,668.72,-8.2722,0.0023208,2.238,0.22708
171.54,664.59,-8.2718,8.8142e-4,2.2214,0.033272
172.04,660.45,-8.2698,0.0039847,2.2597,0.076576
172.54,656.32,-8.2672,0.0053028,2.1496,0.22006
173.04,652.18,-8.2653,0.0036422,2.2742,0.24908
173.54,648.05,-8.2651,4.0495e-4,2.2311,0.086113
174.04,643.92,-8.262,0.0062506,2.3481,0.234
174.54,639.79,-8.2615,0.0010727,2.2724,0.15139
175.04,635.66,-8.2598,0.0033086,2.2095,0.1259
175.54,631.53,-8.2584,0.0027363,2.1719,0.075197
176.04,627.4,-8.2569,0.0030833,2.1656,0.012635
176.54,623.27,-8.2552,0.0034641,2.1945,0.057958
177.04,619.15,-8.2506,0.0091971,2.0203,0.34845
177.54,615.02,-8.2525,-0.0037936,2.0536,0.066639
178.04,610.89,-8.2503,0.0043917,2.0699,0.032609
178.54,606.77,-8.2487,0.0030581,2.0891,0.038363
179.04,602.65,-8.2471,0.003209,2.094,0.0098132
179.54,598.52,-8.2412,0.011922,1.8871,0.41384
180.04,594.4,-8.2442,-0.0060839,1.957,0.13969
180.54,590.28,-8.2421,0.0041725,1.9873,0.060663
181.04,586.16,-8.2406,0.0030309,1.9583,0.058067
181.54,582.04,-8.2376,0.0059655,1.8392,0.23818
182.04,577.92,-8.2377,-1.7129e-4,1.8428,0.0073461
182.54,573.8,-8.2338,0.0079188,1.7012,0.28318
183.04,569.69,-8.2339,-3.017e-4,1.6166,0.16923
183.54,565.57,-8.2308,0.0063029,1.754,0.27465
184.04,561.46,-8.231,-5.4336e-4,1.8115,0.11508
184.54,557.34,-8.2269,0.0082604,1.9679,0.31274
185.04,553.23,-8.2282,-0.0026679,1.9878,0.03986
185.54,549.11,-8.2244,0.0075855,2.1154,0.25521
186.04,545,-8.2248,-7.6433e-4,2.1464,0.061961
186.54,540.89,-8.2227,0.0043419,2.0922,0.10844
187.04,536.78,-8.2213,0.0027796,2.1359,0.087394
187.54,532.67,-8.2176,0.0074213,1.9861,0.29958
188.04,528.56,-8.2169,0.0012514,2.1153,0.25845
188.54,524.45,-8.2155,0.0028083,2.2292,0.22788
189.04,520.35,-8.2117,0.0077316,2.0416,0.37527
189.54,516.24,-8.2137,-0.004139,1.9818,0.11968
190.04,512.13,-8.2115,0.0044584,2.0357,0.10785
190.54,508.03,-8.2084,0.0062281,1.8969,0.27758
191.04,503.92,-8.2083,1.8477e-4,1.81,0.17375
191.54,499.82,-8.1978,0.020916,2.1129,0.60571
192.04,495.72,-8.2059,-0.016177,2.2281,0.23044
192.54,491.62,-8.2024,0.0070053,2.1144,0.22734
193.04,487.52,-8.2001,0.0047457,1.9617,0.30544
193.54,483.42,-8.2002,-2.5101e-4,1.8779,0.1676
194.04,479.32,-8.1989,0.0026167,1.8768,0.0021312
194.54,475.22,-8.1969,0.0039056,1.8309,0.091873
195.04,471.12,-8.1955,0.0028516,1.815,0.031871
195.54,467.02,-8.1938,0.0033936,1.8224,0.014806
196.04,462.93,-8.1921,0.0033222,1.8296,0.014465
196.54,458.83,-8.1896,0.0049818,1.9193,0.17939
197.04,454.74,-8.1889,0.0014896,1.8929,0.0528
197.54,450.64,-8.1851,0.0076199,1.751,0.28382
198.04,446.55,-8.1854,-7.0282e-4,1.6835,0.13503
198.54,442.46,-8.1838,0.0033471,1.7116,0.056298
199.04,438.37,-8.1807,0.0060496,1.8305,0.23766
199.54,434.28,-8.1794,0.0026832,1.9471,0.23337
200.04,430.19,-8.1791,6.3899e-4,1.9461,0.0019863
200.54,426.1,-8.1756,0.0069438,2.0692,0.24608
201.04,422.01,-8.1759,-5.1921e-4,2.0682,0.0019348
201.54,417.92,-8.1735,0.0046898,2.1236,0.11084
202.04,413.84,-8.1723,0.0025153,2.0979,0.051487
202.54,409.75,-8.168,0.0085735,2.258,0.32024
203.04,405.67,-8.1667,0.0025513,2.0925,0.33107
203.54,401.59,-8.167,-6.1096e-4,2.0051,0.17469
204.04,397.5,-8.1658,0.0025026,2.0047,9.3525e-4
204.54,393.42,-8.1634,0.0047256,2.0838,0.15819
205.04,389.34,-8.1623,0.0021933,2.1324,0.097198
205.54,385.26,-8.1592,0.0060987,2.2551,0.24545
206.04,381.18,-8.159,4.3238e-4,2.1914,0.12739
206.54,377.1,-8.1558,0.0064206,2.3202,0.25764
207.04,373.02,-8.1558,2.7014e-5,2.3821,0.12385
207.54,368.95,-8.1527,0.0061386,2.2599,0.24443
208.04,364.87,-8.1426,0.020246,1.9409,0.63796
208.54,360.8,-8.153,-0.020809,1.94,0.0018394
209.04,356.72,-8.1489,0.008146,1.9211,0.037888
209.54,352.65,-8.1476,0.0027015,1.9708,0.099518
210.04,348.57,-8.1461,0.0029353,1.9918,0.04194
210.54,344.5,-8.1445,0.0032184,1.9982,0.012898
211.04,340.43,-8.1422,0.0045934,2.0794,0.1624
211.54,336.36,-8.1404,0.0036094,1.9798,0.1993
212.04,332.29,-8.1363,0.008288,1.7919,0.37572
212.54,328.22,-8.1387,-0.0049521,1.7793,0.025227
213.04,324.15,-8.1357,0.0061835,1.698,0.16264
213.54,320.09,-8.1348,0.0016534,1.7406,0.085221
214.04,316.02,-8.1331,0.0034334,1.7767,0.072095
214.54,311.95,-8.1314,0.0033544,1.8233,0.093295
215.04,307.89,-8.1291,0.0045784,1.9179,0.18915
215.54,303.82,-8.1285,0.0012096,1.9413,0.046848
216.04,299.76,-8.1267,0.0037801,1.9036,0.075385
216.54,295.7,-8.1232,0.0068613,2.0443,0.28132
217.04,291.63,-8.123,4.2861e-4,2.1435,0.19844
217.54,287.57,-8.12,0.0059811,1.9988,0.28931
218.04,283.51,-8.1194,0.0011555,2.1153,0.23299
218.54,279.46,-8.1148,0.0092436,2.3181,0.40544
219.04,275.4,-8.1173,-0.0050095,2.2334,0.16937
219.54,271.34,-8.1155,0.0035654,2.2054,0.055986
220.04,267.28,-8.1133,0.0043827,2.1208,0.16908
220.54,263.23,-8.1122,0.0023102,2.0563,0.129
221.04,259.17,-8.1105,0.0034769,1.9869,0.13888
221.54,255.11,-8.1094,0.0021343,1.9805,0.012734
222.04,251.06,-8.1072,0.0043584,2.0495,0.13789
222.54,247.01,-8.1058,0.0028493,1.9822,0.13458
223.04,242.96,-8.1035,0.0045978,2.0876,0.21088
223.54,238.9,-8.103,0.0010466,2.0393,0.096727
224.04,234.85,-8.1006,0.0047266,1.95,0.17847
224.54,230.8,-8.0987,0.0038945,2.0643,0.22857
225.04,226.75,-8.0982,9.0754e-4,2.01,0.10864
225.54,222.71,-8.0967,0.0030725,1.9927,0.034553
226.04,218.66,-8.0913,0.010713,2.1855,0.38557
226.54,214.61,-8.0894,0.0038426,1.9648,0.44136
227.04,210.57,-8.0916,-0.0044614,2.0741,0.21863
227.54,206.52,-8.0905,0.0022788,2.0776,0.0070039
228.04,202.48,-8.0881,0.0048152,1.9912,0.17297
228.54,198.43,-8.0861,0.003873,2.104,0.2256
229.04,194.39,-8.0859,4.3376e-4,2.1225,0.037157
229.54,190.35,-8.0737,0.024508,1.8013,0.64247
230.04,186.31,-8.0848,-0.022312,1.8089,0.015104
230.54,182.27,-8.0805,0.0086689,1.7768,0.064113
231.04,178.23,-8.0768,0.0073384,1.9421,0.33069
231.54,174.19,-8.0783,-0.0028871,1.8926,0.098996
232.04,170.15,-8.0763,0.0039146,1.8793,0.026729
232.54,166.12,-8.0714,0.0098152,2.063,0.36745
233.04,162.08,-8.0695,0.0036916,1.8534,0.41924
233.54,158.05,-8.0722,-0.005244,1.7931,0.12061
234.04,154.01,-8.0693,0.0056815,1.8797,0.17324
234.54,149.98,-8.0688,0.0010094,1.8724,0.014574
235.04,145.94,-8.067,0.0035673,1.8867,0.028519
235.54,141.91,-8.0655,0.0031313,1.9168,0.060156
236.04,137.88,-8.064,0.0030074,1.8918,0.049937
236.54,133.85,-8.0609,0.0062276,2.0176,0.25167
237.04,129.81,-8.0612,-6.3482e-4,2.0489,0.062491
237.54,125.78,-8.0586,0.0051844,1.9622,0.1734
238.04,121.76,-8.058,0.0011974,1.9846,0.044963
238.54,117.73,-8.0556,0.0047575,2.0667,0.16411
239.04,113.7,-8.0549,0.0013309,2.0737,0.013985
239.54,109.67,-8.0532,0.003428,2.0767,0.0059561
240.04,105.65,-8.0475,0.01152,1.8714,0.41055
240.54,101.62,-8.0503,-0.00574,1.7823,0.17814
241.04,97.598,-8.0487,0.0033512,1.7891,0.013627
241.54,93.575,-8.0438,0.0097461,1.9709,0.36346
242.04,89.553,-8.0442,-9.2269e-4,2.1143,0.28685
242.54,85.531,-8.0443,-6.2478e-5,2.0791,0.070304
243.04,81.509,-8.0421,0.0042602,2.141,0.12361
243.54,77.489,-8.0378,0.0087582,1.9582,0.36548
244.04,73.47,-8.0401,-0.0046685,1.9172,0.081987
244.54,69.45,-8.0374,0.0053479,1.9859,0.1373
245.04,65.432,-8.0365,0.0018387,1.9482,0.075263
245.54,61.414,-8.035,0.0030467,1.9626,0.02865
246.04,57.397,-8.0326,0.0047293,2.0547,0.18426
246.54,53.382,-8.0298,0.0057179,1.9006,0.30813
247.04,49.366,-8.0309,-0.0021878,1.8677,0.065839
247.54,45.352,-8.0277,0.0062539,1.9737,0.21197
248.04,41.339,-8.0227,0.010041,2.1952,0.44296
248.54,37.327,-8.0269,-0.008359,2.1643,0.061668
249.04,33.314,-8.0233,0.007129,2.0695,0.18958
249.54,29.303,-8.0225,0.0017094,1.9851,0.16892
250.04,25.293,-8.0182,0.0085687,1.8029,0.36444
250.54,21.283,-8.0206,-0.0048386,1.8291,0.052493
251.04,17.274,-8.0154,0.010374,1.9971,0.33601
251.54,13.266,-8.0157,-5.9934e-4,1.86,0.27417
252.04,9.2583,-8.0157,-3.3217e-5,1.8657,0.011233
252.54,5.251,-8.0134,0.0046001,1.797,0.13735
253.04,1.2445,-8.0126,0.0016704,1.7973,5.7794e-4
# Event GROUND_HIT occurred at t=253.54 seconds
# Event SIMULATION_END occurred at t=253.54 seconds
253.54,-2.7611,-8.0097,0.0058577,1.9093,0.22399
